id,nombre,equipo,posicion,posicion_detallada,edad,altura,pie_dominante,contrato_hasta,valor_mercado,goles,asistencias,minutos_jugados,valoracion,regates_exitosos,porcentaje_regates_exitosos,pases_clave,tiros_totales,tiros_a_puerta,grandes_ocasiones_creadas,grandes_ocasiones_falladas,pases_ultimo_tercio,porcentaje_pases_acertados,pases_totales,pases_acertados,duelos_aereos_perdidos,intercepciones,entradas,tarjetas_amarillas,tarjetas_rojas,perdidas_de_balon,valoracion_total,conteo_valoraciones,regates_intentados,porcentaje_tiros_a_puerta,porcentaje_pases_clave,goles_por_90,asistencias_por_90,regates_exitosos_por_90,pases_clave_por_90,tiros_totales_por_90,tiros_a_puerta_por_90,grandes_ocasiones_creadas_por_90,grandes_ocasiones_falladas_por_90,pases_ultimo_tercio_por_90,pases_totales_por_90,pases_acertados_por_90,duelos_aereos_perdidos_por_90,intercepciones_por_90,entradas_por_90,perdidas_de_balon_por_90,regates_intentados_por_90,valor_mercado_fmt
845168,Amath Ndiaye,Real Valladolid,M,"['LW', 'ST', 'ML']",30 años,179,Derecho,30/06/2027,835000.0,4,0,914,6.85,10,30.3,10,21,12,1,6,102,80.95,294,238,9,7,31,1,0,22,116.5,17,33.0,57.14285714285714,3.4013605442176873,0.3938730853391685,0.0,0.9846827133479212,0.9846827133479212,2.0678336980306344,1.1816192560175054,0.09846827133479212,0.5908096280087527,10.043763676148796,28.949671772428882,23.435448577680525,0.8862144420131292,0.6892778993435449,3.052516411378556,2.166301969365427,3.2494529540481403,835.000 €
928698,Agustín Pastoriza,Cultural Leonesa,M,"['RW', 'MR']",30 años,177,Zurdo,31/12/2026,280000.0,1,1,661,6.85,15,51.72,10,15,8,3,0,55,61.46,205,126,6,5,12,1,0,4,95.9,14,29.0,53.333333333333336,4.878048780487805,0.1361573373676248,0.1361573373676248,2.042360060514372,1.361573373676248,2.042360060514372,1.0892586989409985,0.4084720121028744,0.0,7.488653555219364,27.912254160363084,17.155824508320727,0.8169440242057489,0.680786686838124,1.6338880484114977,0.5446293494704992,3.9485627836611195,280.000 €
362772,Sebas Moyano,Real Zaragoza,M,"['LW', 'ML']",29 años,173,Derecho,30/06/2027,720000.0,2,0,1284,6.84,18,50.0,14,31,9,3,3,101,81.51,292,238,8,3,20,1,0,18,157.3,23,36.0,29.03225806451613,4.794520547945205,0.14018691588785046,0.0,1.2616822429906542,0.9813084112149533,2.1728971962616823,0.6308411214953271,0.2102803738317757,0.2102803738317757,7.079439252336448,20.46728971962617,16.682242990654206,0.5607476635514018,0.2102803738317757,1.4018691588785046,1.2616822429906542,2.5233644859813085,720.000 €
1031543,Jacobo González,Córdoba,F,['LW'],29 años,176,Derecho,30/06/2026,1300000.0,9,1,2854,6.83,31,40.26,51,109,37,6,5,326,69.58,1042,725,72,8,55,5,1,54,252.6,37,77.0,33.94495412844037,4.894433781190019,0.28381219341275404,0.03153468815697267,0.9775753328661528,1.608269096005606,3.4372810091100208,1.1667834618079886,0.18920812894183603,0.15767344078486334,10.280308339173091,32.85914505956552,22.862648913805184,2.2704975473020323,0.25227750525578135,1.7344078486334968,1.7028731604765242,2.4281709880868956,1.300.000 €
1518119,Jastin García,FC Andorra,F,['LW'],22 años,180,Derecho,30/06/2026,455000.0,3,2,1368,6.83,43,53.75,21,40,18,8,5,143,78.35,425,333,18,2,20,6,0,30,191.1,28,80.0,45.0,4.941176470588235,0.19736842105263158,0.13157894736842105,2.8289473684210527,1.381578947368421,2.631578947368421,1.1842105263157894,0.5263157894736842,0.3289473684210526,9.407894736842106,27.960526315789473,21.907894736842106,1.1842105263157894,0.13157894736842105,1.3157894736842104,1.9736842105263157,5.263157894736842,455.000 €
316406,Antonio Puertas,Albacete Balompié,M,['RW'],34 años,183,Derecho,30/06/2027,620000.0,8,4,1917,6.81,19,44.19,22,46,20,8,12,141,74.85,497,372,48,3,29,6,1,28,197.6,29,43.0,43.47826086956522,4.426559356136821,0.3755868544600939,0.18779342723004694,0.892018779342723,1.0328638497652582,2.15962441314554,0.9389671361502349,0.3755868544600939,0.5633802816901409,6.619718309859156,23.333333333333332,17.464788732394364,2.2535211267605635,0.14084507042253522,1.3615023474178403,1.3145539906103285,2.0187793427230045,620.000 €
863388,Luis Chacón,Cultural Leonesa,M,"['AM', 'LW']",26 años,174,Derecho,30/06/2026,970000.0,8,3,3183,6.81,11,34.38,54,90,33,8,7,354,86.49,1236,1069,31,39,41,2,0,11,252.0,37,32.0,36.666666666666664,4.368932038834951,0.22620169651272384,0.08482563619227144,0.3110273327049953,1.5268614514608858,2.5447690857681433,0.9330819981149859,0.22620169651272384,0.19792648444863337,10.00942507068803,34.94816211121584,30.22620169651272,0.8765315739868049,1.1027332704995287,1.1592836946277099,0.3110273327049953,0.9048067860508954,970.000 €
1535581,Lander Astiazaran,Real Sociedad B U21,M,['RW'],20 años,178,Ambidiestro,30/06/2027,2100000.0,6,4,2473,6.81,23,32.86,47,43,15,10,2,173,74.1,695,515,40,16,36,4,0,13,251.9,37,70.0,34.883720930232556,6.762589928057554,0.21835826930853214,0.14557217953902143,0.8370400323493732,1.710473109583502,1.5649009300444803,0.5458956732713304,0.3639304488475536,0.07278608976951072,6.295996765062676,25.293166194904977,18.74241811564901,1.4557217953902144,0.5822887181560857,1.310149615851193,0.4731095835018197,2.547513141932875,2.100.000 €
989878,Nicolás Melamed,Almería,M,['LW'],25 años,173,Derecho,30/06/2030,2700000.0,3,2,938,6.8,11,42.31,22,44,18,3,1,104,84.52,323,273,14,4,9,1,0,14,163.2,24,26.0,40.909090909090914,6.811145510835913,0.2878464818763326,0.19189765458422176,1.0554371002132197,2.1108742004264394,4.221748400852879,1.727078891257996,0.2878464818763326,0.09594882729211088,9.978678038379531,30.991471215351815,26.19402985074627,1.3432835820895521,0.3837953091684435,0.863539445628998,1.3432835820895521,2.4946695095948828,2.700.000 €
960401,Marvin Park,Las Palmas,D,"['DR', 'RW']",26 años,177,Derecho,30/06/2028,1100000.0,0,2,1982,6.79,20,51.28,13,8,1,2,1,160,83.0,859,713,27,37,38,10,0,11,190.0,28,39.0,12.5,1.5133876600698486,0.0,0.09081735620585267,0.9081735620585268,0.5903128153380424,0.3632694248234107,0.045408678102926335,0.09081735620585267,0.045408678102926335,7.265388496468215,39.006054490413725,32.37638748738648,1.226034308779011,1.6801210898082746,1.7255297679112007,0.49949545913218973,1.770938446014127,1.100.000 €
